Attribute	Description	Required	Conditional If	Data Type	Valid Values
Filename	Name of a file	True		String	
File Format	Format of a file (e.g. txt, csv, fastq, bam, etc.)	True		String	hdf5 bedgraph idx idat bam bai excel powerpoint tif tiff OME-TIFF png doc pdf fasta fastq sam vcf bcf maf bed chp cel sif tsv csv txt plink bigwig wiggle gct bgzip zip seg html mov hyperlink svs Md flagstat gtf raw msf rmd bed narrowPeak bed broadPeak bed gappedPeak avi pzfx fig xml tar R script abf bpm dat jpg locs Sentrix descriptor file Python script sav gzip sdf RData hic ab1 7z gff3 json sqlite svg sra recal tranches mtx tagAlign dup DICOM czi mex cloupe Am cell am mpg M mzML scn dcc rcc pkc sf bedpe
HTAN Parent Biospecimen ID	HTAN Biospecimen Identifier (eg HTANx_yyy_zzz) indicating the biospecimen(s) from which these files were derived; multiple parent biospecimen should be comma-separated	True	Is lowest level is "Yes - Is lowest level"	String	
HTAN Data File ID	Self-identifier for this data file - HTAN ID of this file HTAN ID SOP (eg HTANx_yyy_zzz)	True		String	
Imaging Assay Type	Type of imaging assay	True		String	H&E CyCIF t-CyCIF IHC mIHC MxIF SABER IMC CODEX GeoMX-DSP MIBI MERFISH ExSeq RareCyte Orion Not Applicable
Protocol Link	Protocols.io ID or DOI link to a free/open protocol resource describing in detail the assay protocol (e.g. surface markers used in Smart-seq, dissociation duration,  lot/batch numbers for key reagents such as primers, sequencing reagent kits, etc.) or the protocol by which the sample was obtained or generated.	True		String	
Software and Version	Name of software used to generate expression values. String	True	Pseudo Alignment Used is "Yes - Pseudo Alignment Used"	String	
Commit SHA	Short SHA for software version [8 hexadecimal characters (for github), comma separated if multiple]	False		String	
Pre-processing Completed	Pre-processing steps completed to convert level 1 raw data to a single level 2 image	True		String	Illumination correction Tile Stitching Channel/Cycle Registration TMA de-arraying None Other
Pre-processing Required	Pre-processing steps required to convert level 1 raw data to a single level 2 image	True		String	Illumination correction Tile Stitching Channel/Cycle Registration TMA de-arraying None Other
Comment	Free text field (generally for QC comment)	False	Passed QC is "No - Channels QC"	String	
