Filename	Atlas Name	Publications	Biospecimen	Assay	Level	Organ	Treatment	Diagnosis	Data Access	Synapse Id	Atlasid	File Format	Data File ID	Parent Data File ID	Primary Diagnosis	Sc RN Aseq Workflow Type	Sc RN Aseq Workflow Parameters Description	Workflow Version	Workflow Link	Is Raw Sequencing	Release Version	Organ Type	Metadata	View
HTAN Vanderbilt/imaging_level_2_OMEtiff/HTA11_546_2000001011523001.ome.tiff	HTAN Vanderbilt		HTA11_546_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	Coming Soon	syn53977567	HTA11	OME-TIFF	HTA11_546_200000101152300121							false	Release 7.0		Details	
mxif_level_2/AFsubtracted/HTA11_1391_20000010115220280010000000000.tif	HTAN Vanderbilt		HTA11_1391_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25071714	HTA11	tif	HTA11_1391_20000010115220280010000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_1391_20000010115220280020000000000.tif	HTAN Vanderbilt		HTA11_1391_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25071769	HTA11	tif	HTA11_1391_20000010115220280020000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_1391_20000010115220280030000000000.tif	HTAN Vanderbilt		HTA11_1391_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25071777	HTA11	tif	HTA11_1391_20000010115220280030000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_1938_20000010115220280010000000000.tif	HTAN Vanderbilt		HTA11_1938_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25072268	HTA11	tif	HTA11_1938_20000010115220280010000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_1938_20000010115220280020000000000.tif	HTAN Vanderbilt		HTA11_1938_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25072599	HTA11	tif	HTA11_1938_20000010115220280020000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_2112_20000010115220260010000000000.tif	HTAN Vanderbilt		HTA11_2112_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25072661	HTA11	tif	HTA11_2112_20000010115220260010000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_2112_20000010115220260020000000000.tif	HTAN Vanderbilt		HTA11_2112_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25072720	HTA11	tif	HTA11_2112_20000010115220260020000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_2112_20000010115220260030000000000.tif	HTAN Vanderbilt		HTA11_2112_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25072779	HTA11	tif	HTA11_2112_20000010115220260030000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_2112_20000010115220260040000000000.tif	HTAN Vanderbilt		HTA11_2112_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25072878	HTA11	tif	HTA11_2112_20000010115220260040000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_2235_20000010115220280010000000000.tif	HTAN Vanderbilt		HTA11_2235_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25072987	HTA11	tif	HTA11_2235_20000010115220280010000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_2235_20000010115220280020000000000.tif	HTAN Vanderbilt		HTA11_2235_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25073038	HTA11	tif	HTA11_2235_20000010115220280020000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_2235_20000010115220280030000000000.tif	HTAN Vanderbilt		HTA11_2235_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25073076	HTA11	tif	HTA11_2235_20000010115220280030000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_2487_20000010115220260010000000000.tif	HTAN Vanderbilt		HTA11_2487_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25073364	HTA11	tif	HTA11_2487_20000010115220260010000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_2487_20000010115220260020000000000.tif	HTAN Vanderbilt		HTA11_2487_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25073616	HTA11	tif	HTA11_2487_20000010115220260020000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_2951_20000010115220280010000000000.tif	HTAN Vanderbilt		HTA11_2951_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25073848	HTA11	tif	HTA11_2951_20000010115220280010000000000							false	Release 2.0		Details	
mxif_level_2/AFsubtracted/HTA11_2951_20000010115220280020000000000.tif	HTAN Vanderbilt		HTA11_2951_2000001011	MxIF	Level 2	Not Reported	Not reported	Not Reported	CRDC-GC/SB-CGC (open access)	syn25074207	HTA11	tif	HTA11_2951_20000010115220280020000000000							false	Release 2.0		Details	
